	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
17	8.88E-16	-1.3	-0.9	0.8	1.3	0.4	-1.3	-1	-0.6	-0.2	0.8	1.3	-1
18	0.5	-1.9	-1.5	0.5	0.8	0.5	-1.9	-1.5	0.3	-0.3	-0.1	0.7	-1.3
19	-0.1	-1.7	-1.2	1	0.5	0.2	-1.4	-1.5	-0.2	-0.4	0.5	1.3	-0.9
20	-0.1	-1.6	-1.3	0.8	0.9	-0.2	-1	-1.4	0.1	-0.3	0.8	1	-0.6
21	0.6	-2	-1.1	0.3	0.9	0.3	-1.4	-1.4	0	-0.4	0.6	1	-0.6
22	0.3	-1.6	-0.9	0.4	0.8	0.1	-1	-1.1	-0.2	-0.4	0.5	0.9	-0.4
23	0.3	-1.3	-1.1	0.9	1.1	-0.2	-1.1	-1.3	-0.3	-0.5	0.6	0.1	-0.6
24	0.1	-1.6	-1.4	1.3	2.1	1.1	-2.1	-2.5	-0.8	-0.1	-0.3	-0.5	-1.6
25	0.3	-1.4	-1.2	0.3	0.9	0.3	-1.2	-1.2	-0.3	-0.4	0.5	0.7	-0.8
26	0.2	-1.4	-1	0.3	1	-0.3	-0.6	-1.1	-0.2	-0.4	0.6	-0.1	-0.6
27	0.3	-1.5	-1.2	0.8	0.9	-0.1	-1.1	-1.3	-0.3	-0.3	0.4	0.3	-0.8
28	0.6	-1.6	-1	0.5	0.8	-0.1	-0.9	-1.3	-0.3	-0.4	0.5	0.6	-0.6
29	0.5	-1.7	-1.1	0.4	1.2	-0.1	-1.2	-1.7	-0.2	-0.6	0.4	0.9	-0.6
30	-0.3	-2.1	-1.2	0.4	1.2	0.2	-1.5	-1.2	-0.2	-0.3	0.4	0.1	-0.9
31	0.5	-1.4	-1.2	0.3	0.8	0.2	-1.2	-1.3	-0.1	-0.5	0.7	0.6	-0.5
32	2	-1.9	0.9	-0.4	1.7	-0.3	-2.1	-1.8	-0.6	-0.2	-0.4	2.8	-1.3
33	-0.3	-1.5	-1	-0.1	1.6	-0.6	-1.1	-1.8	-0.4	-0.3	1.1	0.8	-1.1
34	0.3	-1.9	-1.3	0.3	1.1	-0.1	-1	-0.8	-0.7	-0.3	0.9	0.8	-0.7
35	0.2	-1.5	-0.8	0.5	1.4	-0.1	-0.8	-1.2	-0.4	-0.3	0.3	0.3	-0.5
36	0.2	-1.6	-0.9	0.7	0.7	0.4	-1	-1.4	-0.2	-0.3	0.6	1.1	-0.7
37	0.2	-1.3	-0.9	0.6	0.9	-0.1	-0.8	-1.2	-0.1	-0.4	0.5	0.3	-0.6
38	0.5	-1	-1.4	1	1.5	0.1	-1.7	-1.5	-0.1	-0.3	0.4	0	-0.4
39	0	-1.3	-0.8	0.7	1.4	0	-1.1	-1	-0.3	-0.3	0.9	0.9	-0.9
40	-0.2	-0.6	-1.1	0.7	1	0.7	-1.2	-1.6	-0.5	-0.2	0.3	1	-0.8
41	0	-1	-1	0.4	1.2	-0.2	-0.9	-1.3	0	-0.5	0.5	0.7	-0.7
42	0.5	-1.6	-0.8	0.5	0.8	0.1	-0.9	-1.2	-0.3	-0.3	0.7	0.6	-0.6
43	0.2	-1.8	-1.5	2	-0.1	0.3	-0.4	-0.6	-0.2	0	-1.4	0.6	-1.3
44	-8.88E-16	-0.8	-1.6	0.6	1.6	-0.1	-1.2	-1.7	-0.3	-0.4	0.1	0.9	-1.1
45	0.1	-1.2	-0.9	0.5	1	-0.2	-0.9	-1.1	-0.1	-0.3	0.5	0.4	-0.6
46	0.3	-1.7	-1.3	0.5	1.1	0.2	-1.1	-1.5	-0.4	-0.4	0.6	0.8	-0.7
47	-0.4	-1.3	-1.3	0.4	1.3	0.4	-1.3	-1.5	-0.2	-0.3	0.2	0.1	-0.8
48	0.7	-1.6	-1.1	0.4	0.9	-0.1	-0.7	-1.1	-0.2	-0.3	0.6	0.3	-0.6
49	8.88E-16	-1.4	-0.9	0.6	1.1	-8.88E-16	-1.1	-1.2	-0.3	-0.3	0.5	0.3	-0.9
50	-0.4	-0.9	-1.4	0.2	1.1	0.2	-1.4	-2.2	0.3	-0.2	0	0.5	-1.4
51	-8.88E-16	-1.1	-1	0.5	1.2	-0.1	-0.9	-1.3	-0.3	-0.4	0.4	0.2	-0.9
52	0.3	-1.4	-0.9	0.4	1	0.2	-1.3	-1	-0.4	-0.3	0.6	0.5	-0.7
53	-0.5	-1.2	-1.8	0.5	3.3	-8.88E-16	-1.6	-3	-1	-0.3	0	0.5	-1.8
54	0.3	-1.5	-1.2	1.3	1.5	-0.4	-1.5	-1.9	-0.3	-0.4	0.5	0.7	-0.9
55	-0.2	-1.1	-1.2	0.5	1.3	-0.1	-0.7	-1.3	-0.2	-0.2	0.4	0.6	-0.9
56	-0.3	-1.4	-1.1	0.5	1.4	0.4	-1.5	-1	-0.4	-0.4	0.6	0.4	-0.8
57	-0.4	-0.6	-0.6	1.3	0.5	0.9	-2	-0.7	-0.9	-0.4	0.7	-1.4	-0.6
58	0.5	-1.6	-1	0.5	1	-8.88E-16	-1	-1.1	-0.1	-0.4	0.3	0.5	-0.5
59	0.2	-1.3	-0.6	0.6	0.8	-0.3	-0.6	-1	-0.1	-0.4	0.5	0.1	-0.4
60	0.1	-1.2	-1.1	0.3	3.1	-0.5	-2	-2.5	-0.1	-0.6	0.4	-0.4	-0.8
61	0.2	-1.3	-1	0.6	1	0.3	-1.6	-1.3	-0.2	-0.4	0.5	0.8	-0.9
62	0.2	-1.3	-1.3	0.5	0.9	0.3	-1.7	-1.2	-0.4	-0.3	0.3	0.4	-0.6
63	-0.1	-1.1	-0.9	0.6	1.3	-0.4	-1.1	-1.2	-0.1	-0.4	0.5	0.2	-0.7
64	0.3	-1.7	-1.5	1	0.6	-0.1	-0.9	-1.1	-0.2	-0.4	0.5	1.4	-0.9
65	0.3	-1.4	-1	0.6	1.3	0.1	-1.9	-1.7	-0.9	-0.4	1.5	0.4	-1.2
66	-0.1	-1.8	-1.6	1.2	1.5	0.1	-2.4	-2.3	-1.1	-0.1	0.5	1.6	-1.6
67	0.7	-2.6	-0.7	0.2	0.8	0.3	-1.3	-1.4	-0.2	-0.3	0.5	0.9	-1.1
68	-1.4	-1.5	-1.1	7.1	-2.7	-4.3	0.4	0.1	0.2	2.1	2.6	-9.6	0.1
69	-1.9	-1.2	1.8	7.6	-5.3	-2.5	-0.8	0.1	2.2	-0.6	2.9	-7.1	-0.9
70	0.1	-1.1	0	0.3	0.5	-0.7	-0.7	-0.2	-0.3	0	0.4	0.2	0.2
71	0.5	-1.4	0.4	0.1	0.1	-1.2	-1.2	0.8	-2.4	-0.3	1.2	0.8	1.3
72	-0.4	-2.8	-1.2	-4.5	-1.2	-1.1	0.4	0.6	3.3	0.8	1.4	10.9	1
73	-0.4	-3.5	-2.9	-10.7	-1.5	-0.7	-0.8	0.4	3.9	8.8	0.6	4	1.6
74	-1.7	-0.7	0.4	-0.3	-0.1	-2.7	0.1	1.5	0.4	-0.1	1.1	-1.2	-8.88E-16
75	-0.2	-1.3	-0.2	0.2	0.6	-0.9	-1	-0.2	0.2	0.2	0.5	0.3	0.1
76	-0.7	-2.8	-1.7	-1.7	-1	-2.4	-1.1	0.6	3.4	1.5	2	3.5	1.4
77	-0.1	-1.6	-4.8	-9.7	-0.1	-2.3	-0.4	0.9	1.6	6.6	4.2	0.3	1.2
78	-0.1	-1.1	-0.3	-0.2	0.6	-0.7	-0.8	-0.1	0.3	0.1	0.7	0.2	0.1
79	8.88E-16	-1.1	-0.6	-0.9	0.2	-0.9	-0.7	0.4	0	0.3	1	0.8	0.7
80	0.4	-1.4	-0.8	-1	0.1	-1.4	-0.7	0.4	1	0.3	0.6	1.4	0.8
81	-1.4	-1.4	0.2	0.3	0.9	-0.7	-1.5	-0.6	-0.1	1.1	1.6	-0.9	-0.6
82	-0.2	-1.1	-0.5	-2.8	0.3	-2	0.5	-0.9	0.7	0.4	1.4	8.3	0.8
83	-8.88E-16	-1.1	-0.7	-0.5	0.6	-0.6	-1.3	-0.3	0.1	0.4	0.9	1	0.5
84	0.4	-1.1	0.3	0.4	1.1	-0.5	-2	-0.4	-1.3	-0.3	0.8	0.9	1.4
85	-8.88E-16	-1.1	0.1	1.1	0.3	-0.9	-0.6	-0.5	-0.1	0	0.1	1.6	0.1
86	0.5	-1.6	-0.1	-0.1	-0.3	-1.1	-2	0.6	-1.6	-0.1	0.8	1.2	2.4
87	-3.2	-0.8	-1.5	-1.1	-0.4	-2	-0.3	1.4	-1.1	1.8	1.4	1.9	0.1
88	0.6	-2.8	-3.9	0.1	0.5	-2.2	-1.9	-0.2	2.1	0.4	2	0.2	0.9
89	-0.3	-2.2	-0.4	0.1	0.5	-1.4	-1	0.1	0.5	0.6	0.7	0.5	-0.2
90	1.2	-4.8	-7.9	-10.2	-2	0.8	-1.9	0.3	13	5.1	2.2	8.88E-16	3.2
91	8.88E-16	-1.3	-1.3	-0.7	0.2	-1.3	-1.6	0.5	0.2	0.5	0.9	2.4	0.6
92	0.1	-1.8	-1.7	-2	-0.8	-0.8	-1.1	0.6	2.4	0.6	1.1	1.6	0.9
93	-8.88E-16	-0.9	-0.5	0.7	1.2	-0.3	-5.1	-0.7	-1.6	-0.6	2.3	3	1.1
94	0.3	-4.4	-2.1	-0.1	0.9	-2.5	-0.5	0.1	3	1.1	0.8	-0.2	-8.88E-16
95	1.3	-2.5	-3	-0.4	-0.7	-1.7	0.2	-1.8	1.7	1.1	2.7	1.2	-0.9
96	-0.1	-1.8	-0.7	-0.7	-1.7	-0.1	-1.8	1.4	-0.4	0.4	1.4	4.8	1.3
97	-0.8	-1.4	-1.5	0.3	0.7	0.5	-1.6	-1.2	-0.3	-0.4	1.1	-0.4	-0.7
98	-0.4	-0.8	-0.6	0.6	0.6	-8.88E-16	-0.8	-0.8	-0.1	-0.4	0.8	0.4	-0.7
99	-0.4	-1.1	-0.9	0.4	0.8	0.1	-0.9	-0.8	-0.3	0.1	1.3	0.1	-0.8
100	-0.5	-1.1	-0.7	0.4	0.4	8.88E-16	-0.6	-0.6	-0.1	-0.2	0.9	0.6	-0.6
101	-0.3	-0.9	-0.4	0.8	1	0.4	-0.4	-0.8	-0.3	-0.3	0.8	0.9	-0.6
102	-0.8	-0.4	-0.5	0.8	0.8	0.2	-0.7	-0.6	0.1	-0.5	0.6	1.6	-0.4
103	-0.5	-1	-0.8	0.6	0.6	8.88E-16	-0.4	-0.8	-0.1	-0.4	1	-0.4	-0.2
104	-0.4	-0.8	-0.5	0.5	0.6	-0.1	-0.5	-0.6	-0.2	-0.3	0.6	0	-0.6
105	-0.3	-1.1	-0.5	0.2	0.5	8.88E-16	-0.5	-0.7	-0.2	-0.3	0.9	1	-0.6
106	-0.9	-1.4	-1.1	0.2	0.6	0.5	-1.4	-1.1	-0.3	-0.2	1.3	-0.7	-0.8
107	-0.3	-0.9	-0.5	0.5	0.8	-0.1	-0.5	-0.8	-0.1	-0.2	0.5	-0.1	-0.5
108	-0.5	-0.9	-0.6	0.5	0.8	0	-0.6	-0.7	-0.3	-0.3	0.7	-0.1	-0.6
109	-0.9	-1.1	-1.5	0.4	1	2.8	-0.2	-0.7	-0.6	-2.5	0.2	-2.8	-0.6
110	-0.6	-0.9	-0.7	0.4	0.7	-0.2	-0.5	-0.8	-0.1	-0.3	0.9	-0.1	-0.7
111	-1.3	-1.9	2.8	2.7	-1	3.2	-1.2	-2.4	-1.6	-2.9	0.2	-1.9	-0.7
112	-0.6	-1.6	-0.3	0.4	0.2	-0.3	-0.8	-0.5	-0.4	0.3	0.7	1.3	-0.9
113	-0.4	-2.1	-0.9	-0.1	0.4	0.3	-1.2	-0.8	-0.8	0.4	1.1	0.9	-1.1
114	-0.3	-1.8	-0.7	0.4	0.4	0.1	-1.2	-0.4	-0.3	-0.3	1.2	0.7	-0.6
115	-0.4	-1.3	-0.5	0.6	0.2	0.4	-0.9	-0.4	-0.6	-0.1	0.8	0.4	-0.6
116	-0.3	-1.9	-0.8	0.3	0	0.3	-1.2	-0.5	-0.3	0	0.9	1	-0.6
117	-8.88E-16	-2.1	-0.5	0.2	0.4	-8.88E-16	-1.2	-0.9	-0.5	-0.1	0.8	1.3	-0.8
118	-0.2	-2.1	-1	0.4	0.7	0.1	-1.4	-1.2	-0.6	0.5	0.5	1.2	-0.9
119	-0.7	-2.4	-0.7	0.3	-0.1	0.1	-1.2	-0.1	-0.3	0.4	1.7	2.3	-1.4
120	-0.8	-2.1	-0.8	0.2	0.3	0.2	-1.5	-0.6	-0.5	0.1	1.7	2.6	-1.3
121	-0.8	-1.2	-1.1	1.4	0.5	0	-1.2	-0.7	-1	-0.2	0.7	1.3	-1
122	-0.6	-2.4	-1.8	0.1	0.4	0.4	-1.5	-1	-0.3	0.7	1.4	-0.2	-0.4
123	-0.5	-1.8	-0.9	0.4	-0.1	0.1	-1.1	-0.6	-0.5	8.88E-16	1.2	2.4	-1.2
124	-0.7	-1.2	-8.88E-16	-0.3	0	0.1	-1.6	-0.5	0.1	0	0.9	1.2	-0.8
125	-0.6	-1.4	-0.9	1.2	0.6	-8.88E-16	-1.4	-1	-0.3	-0.3	0.7	1.3	-0.7
126	-0.9	-1.6	-0.6	0.4	0.2	0	-1.3	-0.4	-0.4	-0.1	0.9	1.6	-0.8
127	-0.7	-1.4	-0.6	0.6	0.3	0.1	-1.1	-0.5	-0.4	-0.1	0.8	0.7	-0.9
128	-0.5	-1.6	-0.5	0.3	0.6	0.2	-1.3	-0.6	-0.3	0.1	0.7	0.8	-0.4
129	0.4	-2.5	-0.5	-0.3	1.6	-0.3	-2	0.9	-1.1	0.4	1.1	-1.8	-1
130	-0.7	-1.3	-1	0.5	0.2	0.3	-1.3	-0.1	-0.6	0.3	0.8	1	-1
131	-0.8	-1.9	-0.4	0.3	0.3	-8.88E-16	-1.5	-0.9	-0.3	0.2	0.9	2.1	-1.3
132	-0.7	-2.2	-0.7	-0.2	0.2	0.6	-2	-0.5	-0.6	0.8	2	0.9	-1.1
133	-0.9	-1.7	-0.8	0.3	0.8	0.5	-1.7	-1.1	-0.5	0.1	1.2	1.1	-1
134	-0.5	-1.4	-0.7	0.4	0.1	-0.1	-1.1	-0.3	-0.3	8.88E-16	0.8	0.6	-0.7
135	0	-0.7	-0.6	0.5	0.4	-0.1	-1.8	-0.4	-0.5	-0.4	1.1	1	-0.2
136	-0.4	-1.6	-0.9	0.5	0.3	0.4	-1.2	-0.9	-0.2	-0.2	1.2	1.2	-0.7
137	-0.4	-1.6	-0.6	0.6	0.3	0.1	-1	-0.3	-0.4	0	0.8	0.6	-0.9
138	-0.2	-1.6	-0.6	0.7	0.2	-0.2	-1.1	-0.2	-0.9	0.2	0.8	0.7	-0.5
139	-0.5	-1.7	-1	0.4	0.5	0.1	-1.4	-0.8	-0.3	0.3	0.7	0.4	-0.6
140	-0.6	-1.6	-0.6	0.7	0	0.2	-1.2	-0.9	0	1.3	1	-0.5	-0.6
141	-0.4	-1.4	-0.6	0.6	0.4	0	-1.2	-0.5	-0.3	-0.2	0.8	1	-0.6
142	-0.5	-1.3	-0.4	0.3	0.3	0.3	-1.2	-0.7	-0.4	3.5	1.5	-4.4	-0.5
143	-0.6	-2	-1	0.8	0.6	0.3	-1.3	-0.7	-0.7	-0.2	1	1.3	-0.7
144	-0.9	-2.1	-0.3	0.6	0.8	0.4	-1.7	-0.4	-1	0.5	1.3	1.1	-1
145	-0.9	-2.4	-0.8	0.2	0.2	0.2	-1.5	-0.7	-0.2	0.4	1.8	2.4	-1.5
146	-0.6	-1.7	-0.8	0.5	0.4	0.7	-1.7	-0.9	-0.7	-0.1	0.9	1.5	-1.1
147	-0.6	-1.5	-0.6	1.1	0.6	0.3	-1.3	-1	-0.5	8.88E-16	0.9	1	-0.6
148	-0.5	-1.4	-1	0.4	0.8	-0.1	-1.4	-0.6	-0.8	0.2	0.9	1	-0.1
149	-0.4	-2.1	-1	0.5	0.3	0.8	-1.4	-1.1	-0.7	0.3	1.3	1.4	-1.3
150	-1	-2.2	-1.5	0.6	-0.3	0.9	-1.8	-0.5	-0.5	0.1	1.5	-8.88E-16	-0.6
151	0.2	-2.8	-0.5	0.7	0.3	-0.3	-0.4	-0.4	-0.9	0.4	0.9	0.8	-1.1
152	-0.4	-1.6	-0.6	0.5	0.4	0.2	-0.7	-0.5	-0.5	0.5	1.1	0.2	-1.1
153	-0.7	-1.4	-0.6	0.8	0.2	0.1	-1	-0.8	-0.4	-0.1	0.9	1	-0.6
154	-0.3	-1.2	-0.6	0.7	0.2	-0.1	-0.9	-0.4	-0.4	8.88E-16	0.9	0.3	-0.7
155	-0.1	-1.3	-0.5	0.4	-0.3	-0.1	-1.1	-0.4	0	-0.2	0.8	0.7	-0.6
156	-0.4	-1.8	-0.6	0.4	0.2	0.1	-1	-0.8	-0.4	-0.2	1.2	0.7	-0.7
157	-0.3	-1.8	-0.3	8.88E-16	0.8	0.2	-1.3	-0.7	-0.4	0.1	1	-0.3	-0.5
158	-0.9	-1.8	-0.7	0.3	2.3	-1.5	-2	-1	-0.8	0.2	1.1	2.3	-0.4
159	-0.9	-1.6	-0.9	0.6	0.2	0.6	-1.1	-0.6	-0.1	8.88E-16	1.3	0.8	-0.6
160	-0.4	-1.8	-0.6	0.5	-0.8	0.3	-1	0	-0.4	0.1	1.4	1.3	-1
161	-1	-0.9	-0.8	0.5	0.9	0.1	-1	-0.6	-0.8	-0.1	0.5	1.3	-0.6
162	-0.5	-2.3	-0.9	1.5	0.3	0.2	-0.6	-1	-0.4	0.3	1	0.5	-0.7
163	-0.7	-1.6	-0.4	0.4	0.1	0	-1.3	-0.4	-0.7	-0.2	0.9	1.2	-0.5
164	-0.8	-1.5	-1	-0.2	0.2	-0.2	-0.9	-0.1	-0.1	0.3	1.4	0.9	-1.2
165	-0.9	-1.9	-1.1	0.4	0.2	0.4	-1.4	-0.8	-1	0.3	1	2.1	-1.5
166	-0.7	-1.5	-0.9	0.6	0	0.5	-1.5	-0.5	-0.2	0.9	1.2	-0.2	-0.8
167	-0.5	-1.9	-1	0.4	0.5	-0.1	-1	-0.5	-0.4	-0.1	1.2	1.2	-1.1
168	-0.3	-1.2	-0.3	0.7	0	0.4	-1.3	-0.6	-0.3	-0.2	1.2	0.4	-0.7
169	-0.7	-1.4	-0.9	1	0.6	0.3	-1.1	-1	-0.7	0	0.9	0.6	-0.8
170	-0.9	-1.4	-0.2	0.3	0.1	0	-0.9	-0.8	0.2	0.1	0.9	0.3	-0.7
171	-0.4	-1.3	-0.3	0.6	0.2	0.2	-1	-0.6	-0.3	-0.2	0.7	0.5	-0.6
172	-0.4	-1.9	-0.9	0.4	0.5	0.3	-1.8	-0.6	-0.3	0.1	2.2	2.2	-1.6
173	-0.7	-1.9	-0.8	0.2	0.1	0.6	-1.4	-1	-0.5	0	1.1	1.1	-0.8
174	-0.3	-1.3	-0.3	0.7	0	0.1	-0.9	-0.2	-0.6	-0.1	0.7	0.3	-0.5
175	-0.7	-1.3	-0.4	0.8	0	0	-1.1	-0.5	-0.4	-0.2	1	0.6	-0.2
176	-0.9	-1.4	-1.2	0.5	0	0.5	-1.3	-0.4	-0.1	8.88E-16	1.2	1.6	-0.1
177	-0.4	-1.6	-0.4	0.4	0.5	0	-1.2	-0.4	-0.3	-0.2	0.9	0.7	-0.6
178	-0.4	-1.1	-1	0.8	0.4	-0.2	-1	-0.6	-0.5	1	0.9	3	-3.5
179	-0.2	-2.6	-1	0.3	0.1	0.2	-1.2	-0.9	-0.4	0.2	1.1	1.6	-0.9
180	-0.3	-2.5	-1.2	0.7	0.2	0.3	-1.9	-0.6	-0.8	0.3	1.6	8.88E-16	-0.9
181	-0.3	-1.4	-0.5	0.3	0.5	0.2	-1	-0.6	-0.6	-0.1	0.8	1.1	-0.7
182	-0.7	-2	-0.6	0.4	0.2	0.2	-1.3	-0.7	-0.4	0	1.3	1.7	-0.8
183	-0.4	-1	-0.6	0.8	0	0.1	-1.1	-0.6	-0.2	-0.1	0.7	0.4	-0.6
184	-0.5	-1.4	-0.8	0.6	0.2	0.1	-1.3	-0.6	-0.5	8.88E-16	1.1	0.9	-0.9
185	-0.6	-1.9	-1.2	-0.2	0.1	0.2	-1.2	-0.4	-0.2	0.2	0.9	0.9	-1.1
186	-0.5	-1.3	-0.3	0.7	0.2	0.1	-1.2	-0.6	-0.5	0.1	0.9	0.7	-0.4
187	-0.3	-0.9	-0.8	0.3	0.4	0.3	-0.7	-0.8	-0.1	-0.1	0.2	8.88E-16	-0.6
188	1	-0.9	-0.7	2.6	-8.88E-16	-1.8	-1.2	-1.2	0	-1.9	-2	1.3	-0.3
189	-0.2	-1	-1.3	0	0.3	0.1	-1	-0.7	-0.2	0.3	0.5	0.3	-0.7
190	-0.4	-1	-1.2	-0.1	0.6	0.4	-1.4	-1.1	-0.1	0.4	0.6	0.5	-0.6
191	-0.2	-1.1	-1.3	-8.88E-16	0.1	0.3	-0.9	-0.9	0	0.1	0.5	-0.3	-0.7
192	-1.9	-0.5	-5	-3.2	-0.5	-1.7	-1.9	-1.2	-0.1	5.7	5	1.7	-0.6
193	-0.2	-0.9	-0.8	0.2	0.4	0.2	-0.9	-0.7	0	-0.2	0.3	0.1	-0.5
194	-0.1	-1.2	-1.3	-0.2	0.3	0.6	-1	-1.4	0.2	0.3	0.3	0.9	-0.5
195	-0.1	-0.9	-0.9	0.2	8.88E-16	0.1	-1.1	-0.7	0.1	0.1	0.5	0	-0.7
196	-0.3	-0.6	-1.7	-0.9	0.1	0.1	-1.2	-1	0.7	0.9	0.7	0.6	-0.6
197	-0.5	-0.9	-1.5	-0.3	0.2	0.4	-1.6	-1.6	-0.6	0.6	2	0.7	-0.8
198	-8.88E-16	-1	-1.1	-0.2	0.5	0.5	-1.1	-1	0.1	0.2	0.3	-0.1	-0.7
199	-1.1	-0.5	1.4	0.6	1.6	3.1	-1.78E-15	-2.1	-2.4	-1.2	-0.5	0.8	-2.6
200	-0.1	-0.8	-1.1	8.88E-16	0.1	0.3	-1	-0.9	0.2	0.3	0.5	0.2	-0.6
201	8.88E-16	-0.3	-1.7	-0.6	0.3	-0.2	-1.2	-1.1	0.2	0.4	1.2	0.8	-0.3
202	-0.3	-1.1	-1.8	-1	0.5	-0.4	-1.2	-1.3	1	0.8	0.9	0.8	-0.9
203	-0.6	-0.9	-1.3	-0.5	0.3	0.2	-1.2	-0.5	0	0.8	0.6	-0.9	-0.9
204	0.6	-1.2	-1.9	-1	0.3	-8.88E-16	-0.9	-1.4	-0.3	1.3	1	0.3	-0.3
205	-0.5	-1.1	-0.5	0.4	0.4	0.6	-1	-0.7	-0.1	-0.2	0.3	0.4	-0.7
206	-0.3	-0.3	-1.4	-1	0.1	0.3	-1.5	-1.1	0.6	1.7	0.8	0.8	-0.8
207	-0.1	-1	-0.6	0.3	0.4	0.2	-0.8	-0.6	0	-0.1	0.2	0.2	-0.4
208	-1	-0.9	-2	-0.9	-0.2	0	-0.9	-0.6	0.6	1	1	2.6	-0.6
209	0	-1	-1.1	-0.3	0.3	0.3	-1	-0.7	0	0.4	0.8	0.4	-0.6
210	-0.1	-0.6	-2.2	-0.9	-0.1	0.2	-1.8	-1.4	0	1.7	1.6	0.5	-0.5
211	8.88E-16	-1.4	-1.9	-1.3	-0.8	0.3	-0.9	-0.8	0.2	1	1.5	1.6	-0.9
212	0.2	-1	-1.1	1.8	-0.4	-0.6	-1	-0.3	1.1	-0.5	-1	-0.2	-0.6
213	-0.4	-1.3	-3.3	-1.3	-0.2	0.1	-1	-0.7	0.2	1.6	3.2	1	-0.8
214	-0.6	-1.1	-0.8	-0.1	0.4	0.1	-0.8	-0.7	0	0.7	0.7	0.2	-0.9
215	-0.1	-0.9	-0.9	0.3	0.2	0.2	-1.1	-0.6	0	0.1	0.3	0.3	-0.5
216	-0.1	-1	-0.6	0.3	0.4	0.4	-0.8	-0.7	-0.1	-0.1	0.2	0.2	-0.6
217	-0.1	-0.9	-0.9	0.4	0.2	0.2	-0.9	-0.6	0	8.88E-16	0.1	0.1	-0.5
218	-0.3	-0.7	-2.6	-2.2	-0.8	-0.1	-1.3	-0.7	0.2	1.6	2.2	3.9	-0.8
219	-0.2	-0.9	-1.1	0.3	0.6	0.8	-0.7	-1	-0.2	-0.3	0	-0.4	-0.7
220	-0.3	-0.9	-0.9	0.2	0.5	0.3	-0.9	-0.7	-0.1	-0.2	0.3	0.2	-0.6
221	-0.2	-1.1	-1.7	-0.9	-1.1	-0.2	-1.4	-0.9	0.9	1.3	1.5	-0.6	-0.5
222	-0.3	-1	-0.9	0.2	0.6	0.3	-1.2	-0.9	0	-0.1	0.1	-0.2	-0.7
223	-0.2	-1	-0.7	0.2	0.5	0.2	-0.8	-0.7	-0.1	-0.2	0.2	0.3	-0.7
224	-0.3	-0.9	-0.6	0.3	0.3	0.1	-0.7	-0.6	-0.1	-0.1	0.3	-0.1	-0.5
225	-0.3	-0.9	-1.5	-0.6	0.4	0.2	-1.2	-0.9	0.2	0.6	0.7	-0.4	-0.6
226	-0.2	-1	-0.8	0.3	0.5	0.5	-0.8	-0.7	-0.1	8.88E-16	0.4	8.88E-16	-0.6
227	-0.1	-1	-0.6	0.2	0.4	0.2	-0.9	-0.5	0	-0.2	0.3	-0.1	-0.5
228	-0.4	-1.3	-1.2	0.1	0.5	0.4	-0.9	-0.6	0.1	0.2	0.8	0.4	-0.8
229	-0.2	-0.9	-0.7	0.4	0.4	0.2	-0.9	-0.6	-0.1	-0.1	0.1	-0.1	-0.6
230	-0.4	-1	-1.8	-1.3	-0.1	0.1	-1	-0.8	0.2	1.1	1.5	1.5	-0.6
231	8.88E-16	-1	-1.4	-0.4	0.3	0.3	-1.3	-1	0	0.2	0.9	0.9	-0.7
